source,source_column,business_meaning,normalized_field,transformation,validation,public_output,privacy_treatment,kpi_business_rule
Product Master Excel,seller_sku,Seller's internal SKU code,seller_sku (private),passthrough (private layer only),contract: required,none (private only),Never published; excluded from every public output,n/a
Product Master Excel,asin1,Amazon ASIN identifier,asin (private),passthrough (private layer only),contract: forbidden on public outputs,none (private only),Never published; privacy scan rejects any public frame containing ASIN-shaped values,n/a
Product Master Excel,item_name,Full product title,item_name (private),passthrough (private layer only),none,none (private only),Never published; replaced by grouped brand/category/product_group on public outputs,n/a
Product Master Excel,item_description,Free-text product description,item_description (private),passthrough (private layer only),none,none (private only),Never published,n/a
Product Master Excel,listing_id,Marketplace listing identifier,listing_id (private),passthrough (private layer only),contract: forbidden on public outputs,none (private only),Never published,n/a
Product Master Excel,price,List price,price (private),numeric parse,contract: type=number,listing_price_band (public, banded),Raw price never published; only a price band (e.g. Premium/High/Mid/Low) is public,BR-06/BR-07 pricing rules
Product Master Excel,quantity,On-hand quantity,quantity (private),numeric parse,contract: type=number,inventory_band (public, banded),Raw quantity never published; only a derived inventory band is public,derive_inventory_band() -- see contracts/product_master.yml comments on mixed-source origin
Product Master Excel,open_date,Listing open date,open_date (private),date parse,none,none (private only),Never published,n/a
Product Master Excel,product_id,Internal product identifier,product_id (private),passthrough (private layer only),none,public_product_id (public, anonymized),Replaced by a deterministic anonymized public_product_id on every public output,n/a
Product Master Excel,fulfillment_channel,FBA / merchant-fulfilled flag,fulfillment_type (public),standardize_fulfillment(),contract: allowed_values,fulfillment_type,Public -- category label only, no raw identifier,BR-11 restock logic input
Product Master Excel,brand / category / subcategory / product_group,Product hierarchy fields,brand_group / category_group / subcategory_group / product_group (public),grouping normalization,contract: required,product_performance.csv and others,Public -- grouped labels only,BR-06/BR-07 ranking rules
Product Master Excel,maximum_retail_price,MRP,mrp (private),numeric parse,none,none (private only),Never published,n/a
Marketplace Transaction CSV,date_time,Transaction timestamp,transaction_month (public, month grain),date parse + month extraction,contract: type=string; malformed dates rejected,marketplace_summary.csv (transaction_month column),Public -- month grain only, no exact timestamp,BR-14/BR-16 period selection
Marketplace Transaction CSV,settlement_id,Marketplace settlement batch ID,settlement_id (private),passthrough (private layer only),none,none (private only),Never published,n/a
Marketplace Transaction CSV,type,Transaction type (Order/Refund/Fee/etc.),transaction_type_group (public),standardize_transaction_type(),contract: allowed_values (warn),anonymized_master.csv,Public -- category label only,order_row_count logic
Marketplace Transaction CSV,order_id,Marketplace order identifier,order_id (private),passthrough (private layer only),contract: forbidden on public outputs,none (private only),Never published; privacy scan rejects any public frame containing order-ID-shaped values,n/a
Marketplace Transaction CSV,sku,Seller SKU on the transaction row,sku (private, joined),passthrough for join; may be blank for non-product activity,contract: required column, nullable=true (blank = legitimate),none (private only; joined to public_product_id),Never published; blank SKU maps to NON_PRODUCT_ACTIVITY sentinel not a raw value,BR-04 reconciliation rule
Marketplace Transaction CSV,description,Free-text line description,description (private),passthrough (private layer only),none,none (private only),Never published,n/a
Marketplace Transaction CSV,marketplace,Marketplace/channel name,marketplace (public),standardize_marketplace(),contract: allowed_values (warn on unrecognized),marketplace_summary.csv and others,Public -- normalized channel name only,BR-01/BR-02 marketplace comparison
Marketplace Transaction CSV,fulfillment,FBA / merchant-fulfilled flag on the transaction,fulfillment (private field; public fulfillment_type sourced from product master),standardize,contract field name is fulfillment,none directly public,Public equivalent comes from the product master's fulfillment_type,n/a
Marketplace Transaction CSV,order_city / order_state / order_postal,Buyer location fields,order_city/order_state/order_postal (private),passthrough (private layer only),contract: postal forbidden on public outputs,none (private only),Never published; privacy scan rejects postal-code-shaped public content,n/a
Marketplace Transaction CSV,product_sales / shipping_credits / gift_wrap_credits / promotional_rebates,Revenue-side amount fields,gross_sales_private and related (private),numeric parse + aggregation,contract: type=number,sales_index / units_index (public, indexed 0-100),Raw currency amounts never published; only a 0-100 index relative to the dataset max is public,index_from_values() in shared/metrics.py
Marketplace Transaction CSV,selling_fees / fba_fees / other_transaction_fees,Fee-side amount fields,fee amounts (private),numeric parse + aggregation,contract: type=number,fee_pct_of_gross (public, percentage 0-300 clipped),Raw fee amounts never published; only a percentage-of-gross ratio is public,pct_of_gross() in shared/metrics.py
Marketplace Transaction CSV,total,Net settlement total for the row,total (private),numeric parse,contract: type=number,net_to_gross_pct (public, percentage),Raw total never published; only a percentage-of-gross ratio is public,pct_of_gross() in shared/metrics.py
Derived (joiner),non-product-activity flag,Whether a row has no resolvable SKU,public_product_id = NON_PRODUCT_ACTIVITY,app/utils/joiner.py sentinel assignment,none,anonymized_master.csv (rows retained, not dropped),Public -- a fixed sentinel string, never a raw identifier,BR-04 reconciliation rule
Derived (variance engine),period-over-period deltas,Change in a KPI between two periods,absolute_variance / pct_variance / contribution_share_pct (public),shared/variance_engine.py deterministic decomposition,contract: n/a (marts not individually contracted),mart_marketplace_variance_drivers.csv;mart_product_variance_contributors.csv,Public -- computed from already-public indexed metrics only,BR-14/BR-15/BR-16/BR-17
Derived workflow,status lifecycle,Exception review state,status (public),shared/workflow.py build_exception_queue/transition_exception,tests/test_workflow.py transition validation,artifacts/workflow/exception_queue.json;artifacts/workflow/action_log.csv,Public product and workflow metadata fields,BR-23/BR-24/BR-25
