uat_id,execution_date,executed_by,actual_result,status,notes
UAT-01,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-02,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-03,2026-08-18,"Manual (browser)","A valid transaction CSV with zero data rows returned the expected validation message.",PASS,
UAT-04,2026-08-18,"Manual (browser)","A non-CSV payload renamed to .csv returned the expected schema-validation message.",PASS,
UAT-05,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-06,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-07,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-08,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-09,2026-08-18,"Manual (browser)",Marketplace filtering narrowed the Product Intelligence tables and charts to Amazon.,PASS,
UAT-10,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-11,2026-08-18,"Manual (browser)",The Amazon and P0024 filters returned one matching public-product row.,PASS,
UAT-12,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-13,2026-08-18,"Manual (browser)",The marketplace scatter tooltip displayed public metrics and a public product ID.,PASS,
UAT-14,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-15,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-16,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-17,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-18,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-19,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-20,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-21,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-22,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-23,2026-08-18,"Manual (browser)",Sample Demo loaded and all dashboard pages opened successfully.,PASS,
UAT-24,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-25,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-26,2026-08-18,Automated (pytest),Referenced automated test passed.,PASS,
UAT-27,2026-08-18,"Manual (browser)",The marketplace variance view ranked contributors by absolute magnitude.,PASS,
UAT-28,2026-08-18,"Manual (browser)",The product contributor table used public product IDs and absolute-variance ranking.,PASS,
UAT-29,2026-08-18,"Manual (browser)",All 9 dashboard pages appeared in the sidebar.,PASS,
UAT-30,2026-08-18,"Manual (browser)",Profitability metrics used the Estimated Profitability Index label.,PASS,
UAT-31,2026-08-18,Automated (pytest),Upload contract validation rejected malformed transaction rows through the application path.,PASS,
UAT-32,2026-08-18,Automated (pytest),Upload contract validation rejected malformed product-master rows through the application path.,PASS,
UAT-33,2026-08-18,"Manual (author)",KPI formulas were cross-checked against shared/profitability.py and shared/metrics.py.,PASS,
