requirement_id,business_area,modeled_user,business_requirement,business_question,source_system,source_field,transformation,business_rule,kpi,analytical_output,sql_object,streamlit_page,power_bi_page,acceptance_criteria,test_reference,status,notes
BR-01,Marketplace Performance,Marketplace Manager,Identify marketplaces with deteriorating performance period-over-period,Which marketplaces are getting worse and by how much?,Marketplace Transaction CSV,marketplace;transaction_month;gross_sales,aggregate_public + variance_engine.compare_periods,variance_engine period comparison,Sales Index variance,mart_marketplace_variance_drivers.csv,08_root_cause_analysis.sql,9_Performance_Drivers_&_Root_Cause.py,Performance Drivers & Root Cause,AC-BR01-1;AC-BR01-2,tests/test_variance_engine.py,Implemented,Requires >=2 distinct transaction_month values in the dataset
BR-02,Marketplace Performance,Marketplace Manager,Compare fee/refund/promotion pressure across marketplaces,Which marketplace has the highest fee or refund burden?,Marketplace Transaction CSV,total_fee;refund_amount;promotion_amount;gross_sales,pct_of_gross(),shared/metrics.py:pct_of_gross,Fee % of Gross; Refund % of Gross; Promotion % of Gross,marketplace_summary.csv,01_marketplace_performance.sql,2_Marketplace_Performance.py,Marketplace Performance,AC-BR02-1,tests/test_marketplace_channel_performance.py,Implemented,Implemented behavior
BR-03,Marketplace Performance,Marketplace Manager,See order-count and sales-index trend by marketplace without raw currency,How is order volume trending by marketplace?,Marketplace Transaction CSV,order_id;marketplace,index_from_values(),shared/metrics.py:index_from_values,Sales Index; Order Count Index,marketplace_summary.csv,01_marketplace_performance.sql,2_Marketplace_Performance.py,Marketplace Performance,AC-BR02-1,tests/test_nonzero_dashboard_metrics.py,Implemented,current feature
BR-04,Governance,BI Manager,Dashboard values must reconcile to underlying marts,Do the numbers on screen match the CSV they came from?,Public CSV outputs,all dashboard KPI columns,none (direct read),KPI-to-mart reconciliation,Reconciliation Match Rate,marketplace_channel_performance.csv;product_performance.csv,06_reconciliation.sql,All pages,All pages,AC-BR04-1,tests/test_public_output_metric_ranges.py,Implemented,Reconciliation SQL added under sql/sqlserver/06_reconciliation.sql (static; NOT EXECUTED - no SQL Server runtime in this environment)
BR-05,Governance,Marketplace Manager,Report marketplace-channel mapping availability,What is the channel-mapping status?,Marketplace_Channel_Master,seller_sku;public_product_id,join_metrics.channel_mapping_status,mapping availability rule,Channel Mapping Status,validation_summary.csv,none,7_Data_Validation_&_Privacy_Checks.py,Data Validation & Privacy Checks,AC-BR05-1,tests/test_marketplace_channel_coverage_honesty.py,Implemented and runtime-validated,Mapping control
BR-06,Product Intelligence,E-Commerce Analyst,Rank products by indexed sales/units within brand/category,Which products are top performers by brand and category?,Product Master + Transactions,brand_group;category_group;sales_index,aggregate_public(),shared/public_output_builder.py:aggregate_public,Sales Index; Units Index,product_performance.csv,02_product_performance.sql,"3_Product,_Brand_&_Category_Intelligence.py",Product & Category Intelligence,AC-BR06-1,tests/test_public_outputs.py,Implemented,current feature
BR-07,Product Intelligence,E-Commerce Analyst,Identify products with elevated fee/refund burden,Which products carry disproportionate fee or refund cost?,Transactions,total_fee;refund_amount;gross_sales,pct_of_gross() + flag thresholds,fee_review_flag / refund_review_flag rules,Fee % of Gross; Refund % of Gross,fee_refund_summary.csv,03_fee_refund_promotion_analysis.sql,"4_Fees,_Refunds_&_Revenue_Quality.py",Fees & Refunds,AC-BR07-1,tests/test_financial_masking.py,Implemented,current feature
BR-08,Root Cause,E-Commerce Analyst,Identify products with deteriorating Revenue Quality Score and top contributors,"Why did revenue quality drop, and which products drove it?",Transactions (2+ months),revenue_quality_score;transaction_month,variance_engine.rank_contributors,contribution-share decomposition,Revenue Quality Score variance,mart_product_variance_contributors.csv,08_root_cause_analysis.sql,9_Performance_Drivers_&_Root_Cause.py,Performance Drivers & Root Cause,AC-BR08-1,tests/test_variance_engine.py,Implemented,Implemented
BR-09,Profitability,Finance/Commercial Analyst,Identify products with elevated Margin Risk Score,Which products need margin-risk review?,Transactions,fee_pct;refund_pct;promotion_pct;net_pct;margin_pct,margin_risk_score(),shared/profitability.py:margin_risk_score,Margin Risk Score,margin_risk_review.csv,04_profitability_signals.sql,5_Profitability_&_Margin_Intelligence.py,Profitability & Margin,AC-BR09-1,tests/test_margin_risk_score.py,Implemented,current feature
BR-10,Profitability,Finance/Commercial Analyst,Estimated profitability must be labeled as an estimate,Is this audited profit or an analytical signal?,n/a,estimated_profitability_index,label enforcement,Estimated Profitability Index disclosure,Estimated Profitability Index,profitability_summary.csv,04_profitability_signals.sql,5_Profitability_&_Margin_Intelligence.py,Profitability & Margin,AC-BR10-1,tests/test_profitability_metrics.py,Implemented,Metric labeling control
BR-11,Inventory,Inventory Analyst,Identify products requiring restock action,Which products need restocking now?,Product Master (inventory_band),units_index;inventory_band;restock_priority,add_actions() rule 4,Restock Review rule,Restock Priority,inventory_action_review.csv,05_inventory_action_review.sql,"6_Inventory,_Restock_&_Action_Review.py",Inventory & Restock,AC-BR11-1,tests/test_recommendations.py,Implemented,current feature
BR-12,Inventory,Inventory Analyst,Identify slow-moving products with high inventory,Which products are overstocked and not selling?,Product Master (inventory_band),units_index;inventory_band,add_actions() rule 8,Slow Mover Review rule,Units Index,inventory_action_review.csv,05_inventory_action_review.sql,"6_Inventory,_Restock_&_Action_Review.py",Inventory & Restock,AC-BR12-1,tests/test_recommendations.py,Implemented,current feature
BR-13,Inventory,Inventory Analyst,Every recommendation must show its trigger and supporting metrics,Why is this action recommended?,n/a,recommended_action;action_priority;action_reason,add_actions(),recommendation explainability rules,Action Reason,product_action_review.csv;inventory_action_review.csv,none,8_Demo_&_Export_Center.py,Action Center,AC-BR13-1,tests/test_recommendations.py,Implemented,current feature
BR-14,Root Cause,Finance/Commercial Analyst,Explain period-over-period KPI changes by marketplace and product contribution,What changed and who or what drove it?,Transactions (2+ months),all headline KPIs;transaction_month,variance_engine.compare_periods + rank_contributors,variance decomposition,Sales Index; Revenue Quality Score; Margin Risk Score variance,mart_marketplace_variance_drivers.csv;mart_product_variance_contributors.csv,08_root_cause_analysis.sql,9_Performance_Drivers_&_Root_Cause.py,Performance Drivers & Root Cause,AC-BR14-1,tests/test_variance_engine.py,Implemented,Implemented
BR-15,Root Cause,BI Manager,Root-cause explanations must be deterministic and reproducible,Will the same data always produce the same explanation?,n/a,n/a,template-based narrative generation,deterministic narrative rule,Narrative text,mart_marketplace_variance_drivers.csv,none,9_Performance_Drivers_&_Root_Cause.py,Performance Drivers & Root Cause,AC-BR15-1,tests/test_variance_engine.py,Implemented,Implemented
BR-16,Root Cause,Finance/Commercial Analyst,State plainly when there is no meaningful driver,What if nothing actually changed?,n/a,n/a,zero-variance guard,no-forced-insight rule,Narrative text,mart_marketplace_variance_drivers.csv,none,9_Performance_Drivers_&_Root_Cause.py,Performance Drivers & Root Cause,AC-BR16-1,tests/test_variance_engine.py,Implemented,Implemented
BR-17,Root Cause,BI Manager,Use variance/contribution language rather than causal language,Are we claiming causality we cannot support?,n/a,n/a,wording rule,non-causal language rule,Narrative text,mart_marketplace_variance_drivers.csv,none,9_Performance_Drivers_&_Root_Cause.py,Performance Drivers & Root Cause,AC-BR17-1,tests/test_variance_engine.py,Implemented,Implemented
BR-18,Data Quality,BI Manager,Validate uploaded files against a formal contract before processing,Will bad files fail gracefully?,Uploads,all required fields,"shared/contracts.py:validate_dataframe -- called by app/utils/transaction_cleaner.py and app/utils/product_master_cleaner.py as the last cleaning step, plus app/utils/data_loader.py:validate_public_outputs before the privacy scan",contract validation rule,Rejected/accepted row counts,validation_summary.csv,09_validation.sql,7_Data_Validation_&_Privacy_Checks.py,Data Validation & Privacy Checks,AC-BR18-1,tests/test_contract_integration.py;tests/test_contracts.py,Implemented and runtime-validated,Integrated into upload and public-output paths; verified on the 141K-row/1,264-row dataset with 0 false-positive rejections and 0 output-contract violations.
