public_product_id,marketplace,brand_group,category_group,subcategory_group,product_group,fulfillment_type,listing_price_band,inventory_band,margin_band_public,profitability_band_public,sales_index,units_index,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,margin_index,estimated_profitability_index,margin_risk_score,margin_risk_band,revenue_quality_score,revenue_quality_band,recommended_action,action_priority,action_reason
P0573,Amazon,Pantene,Hair Care,Shampoo,Shampoo,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,100.0,94.3,24.0,4.7,3.9,81.7,97.9,87.6,9.1,Low Risk,73.8,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1109,Amazon,Vaseline,Body Care,Body Wash,Body Wash,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,99.3,93.9,23.8,3.2,3.8,82.9,99.8,89.0,9.0,Low Risk,75.4,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0566,Amazon,Pantene,Hair Care,Shampoo,Shampoo,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,98.9,98.0,24.7,5.3,4.1,80.6,94.7,85.6,9.3,Low Risk,73.4,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0546,Amazon,Ora2,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,98.9,93.5,23.8,2.9,3.7,84.0,100.0,89.6,9.0,Low Risk,76.2,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0230,Amazon,Counterpain,Health & Wellness,Pain Relief Balm,Pain Relief,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,98.3,92.7,24.1,5.4,4.0,80.7,94.8,85.8,9.1,Low Risk,73.8,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0547,Amazon,Oral-B,Oral Care,Dental Floss,Dental Floss,FBA,500-999,Low / 3-5,Unmapped,Unmapped,97.8,92.7,24.1,5.0,3.9,82.0,95.3,86.6,9.1,Low Risk,74.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0488,Amazon,Listerine,Oral Care,Mouthwash,Mouthwash,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,97.7,92.2,24.1,5.6,3.8,81.0,94.3,85.7,9.2,Low Risk,73.1,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0906,Amazon,SHIVAMAX,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,97.6,92.2,24.0,4.3,3.9,81.8,96.1,86.9,9.1,Low Risk,74.0,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0602,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,97.4,91.2,23.7,5.9,3.8,81.5,94.1,85.9,9.1,Low Risk,73.9,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0781,Amazon,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,97.2,91.6,24.1,3.8,4.1,82.6,95.9,87.2,9.2,Low Risk,74.7,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0610,Amazon,Pantene,Hair Care,Hair Oil / Serum,Hair Oil & Serum,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,96.9,91.6,24.0,5.2,3.8,81.8,94.3,86.1,9.1,Low Risk,73.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0529,Amazon,NEXCARE,Skin Care,General / Uncategorized,General Product,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,96.3,91.0,23.7,3.2,3.8,83.9,96.9,88.3,9.0,Low Risk,76.0,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P0795,Amazon,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,95.4,90.0,23.7,3.9,4.3,82.8,94.5,86.8,9.1,Low Risk,74.9,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0581,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,94.9,89.6,23.8,3.7,3.5,82.7,95.0,87.0,9.0,Low Risk,75.1,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0022,Amazon,Ambi Pur,Home & Kitchen,Air Freshener,Air Freshener,FBA,500-999,Low / 3-5,Unmapped,Unmapped,94.6,89.2,23.8,3.6,4.3,82.5,93.9,86.4,9.0,Low Risk,74.7,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0797,Amazon,Sensodyne,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Low / 3-5,Unmapped,Unmapped,94.0,89.0,24.1,5.3,4.3,81.1,90.5,84.3,9.2,Low Risk,73.7,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0565,Amazon,Pair,Skin Care,General / Uncategorized,General Product,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,93.3,92.4,24.6,5.5,4.1,81.1,89.2,83.6,9.4,Low Risk,72.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0780,Amazon,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,93.0,87.6,23.6,4.0,3.7,83.4,92.8,86.4,9.0,Low Risk,75.1,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0543,Amazon,Ora2,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,92.9,87.1,23.8,5.0,3.6,82.1,91.2,85.1,9.0,Low Risk,74.1,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1162,Amazon,Vita Keratin,Hair Care,General / Uncategorized,General Product,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,92.6,92.0,24.3,4.5,3.8,82.2,90.6,84.8,9.2,Low Risk,74.0,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0605,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,92.4,87.1,23.7,3.5,4.0,83.9,92.3,86.4,9.0,Low Risk,75.7,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
